size,composition,trial,latency
256,alpha,9,48.190000
512,alpha,9,49.440000
1024,alpha,9,47.340000
2048,alpha,9,45.250000
4096,alpha,9,55.790000
8192,alpha,9,55.980000
16384,alpha,9,65.340000
32768,alpha,9,126.670000
65536,alpha,9,192.490000
131072,alpha,9,319.040000
262144,alpha,9,539.480000
524288,alpha,9,691.640000
1048576,alpha,9,1073.250000
4,alpha,10,48.730000
8,alpha,10,45.760000
16,alpha,10,50.910000
32,alpha,10,50.620000
64,alpha,10,47.920000
128,alpha,10,50.190000
256,alpha,10,51.910000
512,alpha,10,50.200000
1024,alpha,10,52.130000
2048,alpha,10,52.670000
4096,alpha,10,57.070000
8192,alpha,10,52.900000
16384,alpha,10,64.350000
32768,alpha,10,94.110000
65536,alpha,10,138.560000
131072,alpha,10,225.590000
262144,alpha,10,387.680000
524288,alpha,10,670.720000
1048576,alpha,10,1074.890000
4,beta,1,46.740000
8,beta,1,41.820000
16,beta,1,52.620000
32,beta,1,49.290000
64,beta,1,48.930000
128,beta,1,50.030000
256,beta,1,51.110000
512,beta,1,51.890000
1024,beta,1,51.700000
2048,beta,1,54.010000
4096,beta,1,54.960000
8192,beta,1,58.380000
16384,beta,1,70.110000
32768,beta,1,96.000000
65536,beta,1,136.870000
131072,beta,1,213.430000
262144,beta,1,362.170000
524288,beta,1,605.650000
1048576,beta,1,1028.510000
4,beta,2,44.050000
8,beta,2,46.950000
16,beta,2,52.550000
32,beta,2,51.570000
64,beta,2,48.130000
128,beta,2,50.080000
256,beta,2,51.270000
512,beta,2,48.990000
1024,beta,2,53.110000
2048,beta,2,49.620000
4096,beta,2,55.070000
8192,beta,2,59.230000
16384,beta,2,71.240000
32768,beta,2,101.670000
65536,beta,2,144.100000
131072,beta,2,220.770000
262144,beta,2,371.690000
524288,beta,2,596.490000
1048576,beta,2,990.520000
4,beta,3,47.990000
8,beta,3,50.200000
16,beta,3,52.140000
32,beta,3,45.730000
64,beta,3,47.530000
128,beta,3,46.910000
256,beta,3,48.880000
512,beta,3,50.080000
1024,beta,3,49.640000
2048,beta,3,50.660000
4096,beta,3,54.630000
8192,beta,3,58.130000
16384,beta,3,69.990000
32768,beta,3,103.200000
65536,beta,3,140.210000
131072,beta,3,219.100000
262144,beta,3,380.500000
524288,beta,3,616.200000
1048576,beta,3,937.090000
4,beta,4,50.670000
8,beta,4,47.590000
16,beta,4,49.540000
32,beta,4,53.640000
64,beta,4,48.550000
128,beta,4,48.790000
256,beta,4,48.960000
512,beta,4,51.670000
1024,beta,4,55.160000
2048,beta,4,55.310000
4096,beta,4,55.670000
8192,beta,4,64.330000
16384,beta,4,70.400000
32768,beta,4,97.560000
65536,beta,4,138.470000
131072,beta,4,211.830000
262144,beta,4,371.540000
524288,beta,4,612.740000
1048576,beta,4,1049.910000
4,beta,5,54.940000
8,beta,5,51.080000
16,beta,5,52.510000
32,beta,5,52.470000
64,beta,5,58.630000
128,beta,5,54.450000
256,beta,5,54.570000
512,beta,5,55.730000
1024,beta,5,58.120000
2048,beta,5,57.130000
4096,beta,5,57.450000
8192,beta,5,66.910000
16384,beta,5,74.010000
32768,beta,5,100.630000
65536,beta,5,168.520000
131072,beta,5,332.450000
262144,beta,5,572.630000
524288,beta,5,721.570000
1048576,beta,5,1007.700000
4,beta,6,49.370000
8,beta,6,50.150000
16,beta,6,46.590000
32,beta,6,50.770000
64,beta,6,50.840000
128,beta,6,49.790000
256,beta,6,50.170000
512,beta,6,52.320000
1024,beta,6,52.320000
2048,beta,6,52.580000
4096,beta,6,56.160000
8192,beta,6,60.850000
16384,beta,6,71.470000
32768,beta,6,128.360000
65536,beta,6,222.970000
131072,beta,6,370.250000
262144,beta,6,675.090000
524288,beta,6,1186.200000
1048576,beta,6,1075.170000
4,beta,7,47.490000
8,beta,7,41.520000
16,beta,7,43.170000
32,beta,7,43.230000
64,beta,7,43.500000
128,beta,7,50.540000
256,beta,7,52.090000
512,beta,7,47.800000
1024,beta,7,53.000000
2048,beta,7,56.820000
4096,beta,7,57.260000
8192,beta,7,60.190000
16384,beta,7,70.430000
32768,beta,7,94.530000
65536,beta,7,144.740000
131072,beta,7,234.540000
262144,beta,7,383.420000
524288,beta,7,637.050000
1048576,beta,7,965.890000
4,beta,8,53.020000
8,beta,8,50.650000
16,beta,8,52.780000
32,beta,8,51.770000
64,beta,8,50.680000
128,beta,8,47.920000
256,beta,8,50.900000
512,beta,8,51.950000
1024,beta,8,50.070000
2048,beta,8,52.130000
4096,beta,8,48.300000
8192,beta,8,51.700000
16384,beta,8,62.880000
32768,beta,8,101.160000
65536,beta,8,139.070000
131072,beta,8,213.350000
262144,beta,8,366.480000
524288,beta,8,611.470000
1048576,beta,8,960.410000
4,beta,9,49.660000
8,beta,9,45.000000
16,beta,9,55.290000
32,beta,9,50.920000
64,beta,9,43.020000
128,beta,9,40.750000
256,beta,9,41.820000
512,beta,9,50.460000
1024,beta,9,53.330000
2048,beta,9,51.750000
4096,beta,9,56.660000
8192,beta,9,60.060000
16384,beta,9,72.070000
32768,beta,9,109.070000
65536,beta,9,163.450000
131072,beta,9,233.890000
262144,beta,9,408.980000
524288,beta,9,688.390000
1048576,beta,9,1056.890000
4,beta,10,49.400000
8,beta,10,55.220000
16,beta,10,49.580000
32,beta,10,49.290000
64,beta,10,47.510000
128,beta,10,45.420000
256,beta,10,42.420000
512,beta,10,40.980000
1024,beta,10,42.360000
2048,beta,10,52.190000
4096,beta,10,56.210000
8192,beta,10,60.820000
16384,beta,10,69.490000
32768,beta,10,95.940000
65536,beta,10,134.610000
131072,beta,10,209.860000
262144,beta,10,359.550000
524288,beta,10,598.130000
1048576,beta,10,997.860000
4,gamma,1,47.800000
8,gamma,1,55.700000
16,gamma,1,54.870000
32,gamma,1,53.500000
64,gamma,1,51.810000
128,gamma,1,53.150000
256,gamma,1,55.360000
512,gamma,1,55.060000
1024,gamma,1,54.300000
2048,gamma,1,57.060000
4096,gamma,1,58.120000
8192,gamma,1,64.130000
16384,gamma,1,74.140000
32768,gamma,1,96.670000
65536,gamma,1,119.600000
131072,gamma,1,227.720000
262144,gamma,1,377.240000
524288,gamma,1,588.190000
1048576,gamma,1,961.120000
4,gamma,2,46.460000
8,gamma,2,49.110000
16,gamma,2,49.610000
32,gamma,2,48.080000
64,gamma,2,43.200000
128,gamma,2,46.080000
256,gamma,2,52.100000
512,gamma,2,50.200000
1024,gamma,2,51.720000
2048,gamma,2,51.920000
4096,gamma,2,53.540000
8192,gamma,2,58.890000
16384,gamma,2,69.270000
32768,gamma,2,96.350000
65536,gamma,2,133.060000
131072,gamma,2,216.140000
262144,gamma,2,370.270000
524288,gamma,2,624.770000
1048576,gamma,2,1119.160000
4,gamma,3,52.700000
8,gamma,3,46.890000
16,gamma,3,52.450000
32,gamma,3,51.140000
64,gamma,3,50.500000
128,gamma,3,48.150000
256,gamma,3,51.340000
512,gamma,3,52.290000
1024,gamma,3,50.430000
2048,gamma,3,47.570000
4096,gamma,3,54.300000
8192,gamma,3,61.110000
16384,gamma,3,72.530000
32768,gamma,3,105.490000
65536,gamma,3,148.660000
131072,gamma,3,230.220000
262144,gamma,3,397.580000
524288,gamma,3,610.760000
1048576,gamma,3,917.430000
4,gamma,4,57.570000
8,gamma,4,53.670000
16,gamma,4,57.400000
32,gamma,4,52.190000
64,gamma,4,52.710000
128,gamma,4,53.290000
256,gamma,4,54.060000
512,gamma,4,56.620000
1024,gamma,4,54.980000
2048,gamma,4,57.630000
