size,backend,trial,latency
4,mpichccl,6,39.8200
8,mpichccl,6,43.8700
16,mpichccl,6,42.3500
32,mpichccl,6,44.2000
64,mpichccl,6,40.0900
128,mpichccl,6,40.3600
256,mpichccl,6,40.7700
512,mpichccl,6,40.7600
1024,mpichccl,6,41.2400
2048,mpichccl,6,42.4300
4096,mpichccl,6,44.6400
8192,mpichccl,6,47.4200
16384,mpichccl,6,47.1600
32768,mpichccl,6,46.9900
65536,mpichccl,6,65.1100
131072,mpichccl,6,65.1900
262144,mpichccl,6,65.8400
524288,mpichccl,6,76.4700
1048576,mpichccl,6,88.4600
4,mpichccl,7,39.7400
8,mpichccl,7,43.9100
16,mpichccl,7,43.9100
32,mpichccl,7,42.7300
64,mpichccl,7,40.5800
128,mpichccl,7,40.6100
256,mpichccl,7,40.9800
512,mpichccl,7,41.1900
1024,mpichccl,7,41.7500
2048,mpichccl,7,43.1300
4096,mpichccl,7,45.0500
8192,mpichccl,7,47.4600
16384,mpichccl,7,47.0200
32768,mpichccl,7,47.3500
65536,mpichccl,7,64.4700
131072,mpichccl,7,62.0800
262144,mpichccl,7,64.9200
524288,mpichccl,7,76.1500
1048576,mpichccl,7,88.0800
4,mpichccl,8,40.9200
8,mpichccl,8,43.1100
16,mpichccl,8,44.4900
32,mpichccl,8,44.5300
64,mpichccl,8,39.7700
128,mpichccl,8,40.2100
256,mpichccl,8,40.6300
512,mpichccl,8,40.6500
1024,mpichccl,8,41.1300
2048,mpichccl,8,42.3500
4096,mpichccl,8,43.6400
8192,mpichccl,8,47.0100
16384,mpichccl,8,46.6300
32768,mpichccl,8,46.5200
65536,mpichccl,8,64.2600
131072,mpichccl,8,63.3400
262144,mpichccl,8,65.5200
524288,mpichccl,8,76.0100
1048576,mpichccl,8,88.0200
4,mpichccl,9,37.7800
8,mpichccl,9,42.5900
16,mpichccl,9,47.5100
32,mpichccl,9,43.3900
64,mpichccl,9,39.2100
128,mpichccl,9,37.3700
256,mpichccl,9,35.3400
512,mpichccl,9,35.5600
1024,mpichccl,9,36.0000
2048,mpichccl,9,36.9600
4096,mpichccl,9,38.6100
8192,mpichccl,9,42.0600
16384,mpichccl,9,41.5900
32768,mpichccl,9,41.2900
65536,mpichccl,9,61.5700
131072,mpichccl,9,58.0600
262144,mpichccl,9,63.5300
524288,mpichccl,9,73.8600
1048576,mpichccl,9,85.5200
4,mpichccl,10,35.3800
8,mpichccl,10,41.5400
16,mpichccl,10,41.8800
32,mpichccl,10,39.9300
64,mpichccl,10,36.3600
128,mpichccl,10,36.5500
256,mpichccl,10,36.9700
512,mpichccl,10,37.2600
1024,mpichccl,10,37.9800
2048,mpichccl,10,38.7900
4096,mpichccl,10,40.0300
8192,mpichccl,10,44.3000
16384,mpichccl,10,43.9000
32768,mpichccl,10,43.4400
65536,mpichccl,10,62.5300
131072,mpichccl,10,58.5100
262144,mpichccl,10,63.9700
