size,backend,trial,latency
128,mpichccl,10,39.2000
256,mpichccl,10,38.3800
512,mpichccl,10,38.3900
1024,mpichccl,10,39.2200
2048,mpichccl,10,39.8600
4096,mpichccl,10,41.0500
8192,mpichccl,10,45.3400
16384,mpichccl,10,44.8200
32768,mpichccl,10,44.3000
65536,mpichccl,10,66.0000
131072,mpichccl,10,63.3100
262144,mpichccl,10,66.8600
524288,mpichccl,10,73.3600
1048576,mpichccl,10,82.2100
4,rccl,1,36.2700
8,rccl,1,34.1100
16,rccl,1,34.1600
32,rccl,1,34.2300
64,rccl,1,32.8800
128,rccl,1,33.0300
256,rccl,1,36.0900
512,rccl,1,34.8100
1024,rccl,1,34.5600
2048,rccl,1,35.2900
4096,rccl,1,37.1600
8192,rccl,1,41.4800
16384,rccl,1,41.0100
32768,rccl,1,40.4400
65536,rccl,1,60.7600
131072,rccl,1,58.8900
262144,rccl,1,62.2200
524288,rccl,1,69.2100
1048576,rccl,1,78.8900
4,rccl,2,39.3700
8,rccl,2,36.1600
16,rccl,2,33.3700
32,rccl,2,33.4100
64,rccl,2,34.9500
128,rccl,2,36.0400
256,rccl,2,36.1600
512,rccl,2,36.3000
1024,rccl,2,35.1000
2048,rccl,2,36.2700
4096,rccl,2,38.3300
8192,rccl,2,44.1600
16384,rccl,2,43.7000
32768,rccl,2,42.2400
65536,rccl,2,61.6100
131072,rccl,2,60.2300
262144,rccl,2,64.3100
524288,rccl,2,70.8100
1048576,rccl,2,79.9300
4,rccl,3,38.7200
8,rccl,3,38.8000
16,rccl,3,35.8100
32,rccl,3,34.7900
64,rccl,3,33.6200
128,rccl,3,33.0600
256,rccl,3,33.5700
512,rccl,3,33.8000
1024,rccl,3,34.3100
2048,rccl,3,38.5700
4096,rccl,3,38.8300
8192,rccl,3,43.8400
16384,rccl,3,43.4500
32768,rccl,3,42.9700
65536,rccl,3,59.5500
131072,rccl,3,61.4900
262144,rccl,3,63.8100
524288,rccl,3,70.9000
1048576,rccl,3,80.9500
4,rccl,4,38.1000
8,rccl,4,36.1600
16,rccl,4,33.4200
32,rccl,4,35.5500
64,rccl,4,34.5400
128,rccl,4,33.5300
256,rccl,4,35.5200
512,rccl,4,34.3400
1024,rccl,4,34.8300
2048,rccl,4,36.0700
4096,rccl,4,37.6100
8192,rccl,4,42.1800
16384,rccl,4,41.3400
32768,rccl,4,40.9400
65536,rccl,4,61.6100
131072,rccl,4,60.1200
262144,rccl,4,63.3000
524288,rccl,4,70.4700
1048576,rccl,4,79.4300
4,rccl,5,38.1800
8,rccl,5,38.8600
16,rccl,5,34.8200
32,rccl,5,39.0400
64,rccl,5,37.0800
128,rccl,5,34.9300
256,rccl,5,33.9900
512,rccl,5,34.4300
1024,rccl,5,37.5400
2048,rccl,5,36.2200
4096,rccl,5,38.2500
8192,rccl,5,42.2300
16384,rccl,5,43.2500
32768,rccl,5,42.7600
65536,rccl,5,61.5000
131072,rccl,5,59.9000
262144,rccl,5,63.0800
524288,rccl,5,70.8600
1048576,rccl,5,82.0600
4,rccl,6,38.2500
8,rccl,6,37.3100
16,rccl,6,33.3900
32,rccl,6,33.3700
64,rccl,6,35.4900
128,rccl,6,34.2500
256,rccl,6,37.2900
512,rccl,6,34.9800
1024,rccl,6,36.9600
2048,rccl,6,36.3800
4096,rccl,6,38.0200
8192,rccl,6,42.0700
16384,rccl,6,41.3100
32768,rccl,6,41.1300
65536,rccl,6,61.4300
131072,rccl,6,59.9700
262144,rccl,6,63.0100
524288,rccl,6,70.1700
1048576,rccl,6,79.5600
4,rccl,7,37.7800
8,rccl,7,36.7700
16,rccl,7,33.3600
32,rccl,7,34.8000
64,rccl,7,33.1100
128,rccl,7,34.3600
256,rccl,7,33.5200
512,rccl,7,33.9400
1024,rccl,7,34.4900
2048,rccl,7,35.8700
4096,rccl,7,38.2700
8192,rccl,7,42.0900
16384,rccl,7,41.2300
32768,rccl,7,40.8600
65536,rccl,7,61.8400
131072,rccl,7,59.9000
262144,rccl,7,63.1500
524288,rccl,7,70.2300
1048576,rccl,7,79.6700
4,rccl,8,38.6900
8,rccl,8,38.0600
16,rccl,8,35.7500
32,rccl,8,35.7700
64,rccl,8,35.6700
128,rccl,8,38.8500
256,rccl,8,34.3100
512,rccl,8,34.6300
1024,rccl,8,36.1800
2048,rccl,8,36.2100
4096,rccl,8,38.0500
8192,rccl,8,42.1800
16384,rccl,8,42.0200
32768,rccl,8,41.1400
65536,rccl,8,59.8200
131072,rccl,8,60.0100
262144,rccl,8,62.8700
524288,rccl,8,70.1100
1048576,rccl,8,80.1300
4,rccl,9,39.6800
8,rccl,9,39.5300
16,rccl,9,37.2900
32,rccl,9,37.1900
64,rccl,9,34.9000
128,rccl,9,34.8500
256,rccl,9,35.1800
512,rccl,9,35.4100
1024,rccl,9,36.0100
2048,rccl,9,37.2900
4096,rccl,9,39.4500
8192,rccl,9,43.4800
16384,rccl,9,42.3400
32768,rccl,9,42.0200
65536,rccl,9,61.2100
131072,rccl,9,60.4100
262144,rccl,9,63.9200
524288,rccl,9,70.9400
1048576,rccl,9,80.2800
4,rccl,10,37.8400
8,rccl,10,37.5100
16,rccl,10,35.4200
32,rccl,10,36.6100
64,rccl,10,33.7400
128,rccl,10,34.9700
256,rccl,10,36.4700
512,rccl,10,34.7000
1024,rccl,10,35.1100
2048,rccl,10,36.1100
4096,rccl,10,38.1800
8192,rccl,10,42.7100
16384,rccl,10,41.6200
32768,rccl,10,41.3700
65536,rccl,10,62.3200
131072,rccl,10,60.3200
262144,rccl,10,63.5400
524288,rccl,10,70.6000
1048576,rccl,10,79.9400
4,auto,1,52.2700
8,auto,1,46.8800
16,auto,1,49.7100
32,auto,1,50.3100
64,auto,1,48.7000
128,auto,1,48.5400
256,auto,1,46.4300
512,auto,1,47.8300
1024,auto,1,47.1400
2048,auto,1,51.0500
4096,auto,1,52.2600
8192,auto,1,60.1300
16384,auto,1,76.7400
32768,auto,1,96.4300
65536,auto,1,137.9300
131072,auto,1,215.1900
262144,auto,1,370.8800
524288,auto,1,691.2000
1048576,auto,1,1322.1900
4,auto,2,47.1600
8,auto,2,47.3800
16,auto,2,52.5300
32,auto,2,46.3800
64,auto,2,45.9000
128,auto,2,52.2700
256,auto,2,47.7300
512,auto,2,49.1900
1024,auto,2,48.7900
2048,auto,2,49.9400
4096,auto,2,48.2900
8192,auto,2,54.7000
16384,auto,2,70.0000
32768,auto,2,82.8700
65536,auto,2,121.0300
131072,auto,2,197.9200
262144,auto,2,289.0600
524288,auto,2,615.6800
1048576,auto,2,1135.5400
4,auto,3,46.3700
8,auto,3,51.3400
16,auto,3,54.7100
32,auto,3,52.0800
64,auto,3,52.7200
128,auto,3,69.9600
256,auto,3,55.6900
512,auto,3,49.2200
1024,auto,3,49.9800
2048,auto,3,51.2500
4096,auto,3,52.2300
8192,auto,3,53.8000
16384,auto,3,69.0800
32768,auto,3,83.5600
65536,auto,3,125.0800
131072,auto,3,173.9000
262144,auto,3,296.1300
524288,auto,3,493.4900
1048576,auto,3,1000.8800
4,auto,4,47.8500
8,auto,4,48.1900
16,auto,4,49.2700
32,auto,4,45.5300
64,auto,4,50.3600
128,auto,4,49.3100
256,auto,4,47.6000
512,auto,4,53.6000
1024,auto,4,50.0800
2048,auto,4,47.6900
4096,auto,4,49.6000
8192,auto,4,54.5900
16384,auto,4,74.3500
32768,auto,4,84.9600
65536,auto,4,121.8900
131072,auto,4,177.4100
262144,auto,4,287.4700
524288,auto,4,485.9500
1048576,auto,4,948.1400
4,auto,5,50.1600
8,auto,5,47.5100
16,auto,5,55.0500
32,auto,5,51.1100
64,auto,5,54.0000
128,auto,5,53.7500
256,auto,5,48.0000
512,auto,5,51.9500
1024,auto,5,48.9000
2048,auto,5,47.9900
4096,auto,5,50.1200
8192,auto,5,55.0600
16384,auto,5,70.1100
32768,auto,5,80.7700
65536,auto,5,123.2200
131072,auto,5,187.5100
262144,auto,5,283.8600
524288,auto,5,504.7700
1048576,auto,5,968.8900
4,auto,6,48.5600
8,auto,6,45.1100
16,auto,6,47.2400
32,auto,6,48.2100
64,auto,6,47.4200
128,auto,6,46.7200
256,auto,6,47.6000
512,auto,6,50.6800
1024,auto,6,48.3700
2048,auto,6,48.4200
4096,auto,6,50.7500
8192,auto,6,51.6700
16384,auto,6,72.6800
32768,auto,6,90.2600
65536,auto,6,131.4500
131072,auto,6,210.8800
262144,auto,6,322.0000
524288,auto,6,587.2400
1048576,auto,6,1086.1900
4,auto,7,51.3100
8,auto,7,48.2600
16,auto,7,52.6600
32,auto,7,50.2700
64,auto,7,49.4400
128,auto,7,53.4500
256,auto,7,52.7800
512,auto,7,51.3800
1024,auto,7,50.6300
2048,auto,7,50.8700
4096,auto,7,53.1200
8192,auto,7,55.5000
16384,auto,7,75.6100
32768,auto,7,79.9100
65536,auto,7,116.8000
131072,auto,7,183.0600
262144,auto,7,282.7100
524288,auto,7,506.6100
1048576,auto,7,917.2900
4,auto,8,49.7900
8,auto,8,46.1400
16,auto,8,47.2000
32,auto,8,47.4800
64,auto,8,47.5800
128,auto,8,50.3000
256,auto,8,49.6900
512,auto,8,47.7200
1024,auto,8,47.4600
2048,auto,8,49.4300
4096,auto,8,51.2600
8192,auto,8,54.1600
16384,auto,8,72.5800
32768,auto,8,89.5100
65536,auto,8,128.6300
131072,auto,8,205.2300
262144,auto,8,326.2000
524288,auto,8,622.6300
1048576,auto,8,1103.7100
4,auto,9,51.3800
8,auto,9,48.4900
16,auto,9,48.4400
32,auto,9,46.9900
64,auto,9,49.1400
128,auto,9,50.2300
256,auto,9,60.9400
512,auto,9,56.9400
1024,auto,9,48.0200
2048,auto,9,52.3600
4096,auto,9,55.3800
8192,auto,9,60.5800
16384,auto,9,71.0300
32768,auto,9,93.4800
65536,auto,9,129.0100
131072,auto,9,194.2800
262144,auto,9,298.1200
524288,auto,9,525.5100
1048576,auto,9,957.3700
4,auto,10,49.2000
8,auto,10,44.1600
16,auto,10,51.8400
32,auto,10,49.0400
64,auto,10,49.8300
128,auto,10,46.0700
256,auto,10,48.0600
512,auto,10,46.2300
1024,auto,10,48.4000
2048,auto,10,48.9900
4096,auto,10,49.2900
8192,auto,10,50.9400
16384,auto,10,72.1900
32768,auto,10,88.6500
65536,auto,10,126.3800
131072,auto,10,201.2400
262144,auto,10,329.5000
524288,auto,10,616.3200
1048576,auto,10,1222.3400
