size,backend,trial,latency
16,rccl,9,31.8200
32,rccl,9,28.3100
64,rccl,9,26.8100
128,rccl,9,26.8600
256,rccl,9,27.0400
512,rccl,9,27.1300
1024,rccl,9,27.2900
2048,rccl,9,27.6000
4096,rccl,9,28.6200
8192,rccl,9,28.5400
16384,rccl,9,28.6900
32768,rccl,9,33.5200
65536,rccl,9,33.8000
131072,rccl,9,34.8000
262144,rccl,9,37.7200
524288,rccl,9,43.6600
1048576,rccl,9,54.4900
4,rccl,10,26.6000
8,rccl,10,29.8600
16,rccl,10,29.9600
32,rccl,10,28.0000
64,rccl,10,26.2700
128,rccl,10,26.3500
256,rccl,10,26.5600
512,rccl,10,26.6600
1024,rccl,10,27.0000
2048,rccl,10,27.3200
4096,rccl,10,27.9500
8192,rccl,10,28.0200
16384,rccl,10,28.1500
32768,rccl,10,33.4300
65536,rccl,10,33.5900
131072,rccl,10,34.5200
262144,rccl,10,37.4300
524288,rccl,10,43.1900
1048576,rccl,10,53.7600
