size,backend,trial,latency
256,rccl,2,41.0400
512,rccl,2,41.7100
1024,rccl,2,42.1800
2048,rccl,2,0.0000
4096,rccl,2,48.4000
8192,rccl,2,62.2800
16384,rccl,2,74.8400
32768,rccl,2,0.0000
65536,rccl,2,101.3500
131072,rccl,2,123.9600
262144,rccl,2,165.6700
524288,rccl,2,247.1100
1048576,rccl,2,386.0900
4,rccl,3,58.0200
8,rccl,3,52.6000
16,rccl,3,43.3800
32,rccl,3,43.2500
64,rccl,3,42.4000
128,rccl,3,41.3000
256,rccl,3,40.4900
512,rccl,3,40.7600
1024,rccl,3,41.3600
2048,rccl,3,0.0000
4096,rccl,3,46.6200
8192,rccl,3,62.4200
16384,rccl,3,75.2100
32768,rccl,3,83.7500
65536,rccl,3,102.6200
131072,rccl,3,0.0000
262144,rccl,3,167.6800
524288,rccl,3,249.8600
1048576,rccl,3,389.8700
4,rccl,4,66.0800
8,rccl,4,46.8500
16,rccl,4,0.0000
32,rccl,4,42.0700
64,rccl,4,39.6900
128,rccl,4,39.7600
256,rccl,4,39.5500
512,rccl,4,39.4600
1024,rccl,4,39.9900
2048,rccl,4,42.7500
4096,rccl,4,46.6200
8192,rccl,4,61.5300
16384,rccl,4,74.2900
32768,rccl,4,0.0000
65536,rccl,4,102.1900
131072,rccl,4,125.9000
262144,rccl,4,168.7500
524288,rccl,4,251.4200
1048576,rccl,4,395.1000
4,rccl,5,58.0400
8,rccl,5,50.7900
16,rccl,5,44.9100
32,rccl,5,47.8800
64,rccl,5,43.4200
128,rccl,5,42.0600
256,rccl,5,42.2000
512,rccl,5,42.2900
1024,rccl,5,42.8900
2048,rccl,5,45.5100
4096,rccl,5,47.5200
8192,rccl,5,64.5700
16384,rccl,5,77.4200
32768,rccl,5,83.9600
65536,rccl,5,102.6300
131072,rccl,5,125.7000
262144,rccl,5,167.9300
524288,rccl,5,0.0000
1048576,rccl,5,391.1600
4,rccl,6,50.7200
8,rccl,6,0.0000
16,rccl,6,39.6600
32,rccl,6,48.9100
64,rccl,6,41.3600
128,rccl,6,39.9800
256,rccl,6,40.0900
512,rccl,6,0.0000
1024,rccl,6,40.9200
2048,rccl,6,43.6400
4096,rccl,6,46.5500
8192,rccl,6,62.2700
16384,rccl,6,75.2800
32768,rccl,6,82.9300
65536,rccl,6,101.7200
131072,rccl,6,124.7400
262144,rccl,6,166.8100
524288,rccl,6,248.6300
1048576,rccl,6,388.4100
4,rccl,7,57.2200
8,rccl,7,46.0500
16,rccl,7,44.6600
32,rccl,7,43.8700
64,rccl,7,40.9500
128,rccl,7,41.2500
256,rccl,7,40.8900
512,rccl,7,41.1200
